# radius density temp h1 he3 he4 c12 c13 n13 n14 n15 o16 o17 o18 f19 ne20 ne22 mg24 si28
1190
  1.613873601342845e+06  5.930192375501259e+07  4.820172678607285e+07  7.282131702422383e-46  8.820796895486254e-26  9.308730165026627e-30  3.569914563424491e-01  3.844405006863798e-05  7.333744150577363e-41  1.139828325851414e-33  1.122138282499917e-22  6.188532024560204e-01  4.094494600905079e-06  2.282817932380207e-05  4.243395386307515e-07  1.933531655025687e-02  1.363877445896494e-04  3.952897258636779e-03  6.649485845151433e-04
  2.425837462060680e+06  5.929588162070936e+07  4.820175449146623e+07  7.282429795853712e-46  8.820797498661954e-26  9.307249397970744e-30  3.569914032575498e-01  3.844405006802249e-05  7.331825845075643e-41  1.139508005892285e-33  1.121175184263671e-22  6.188531748288016e-01  4.094494600897128e-06  2.282817932375774e-05  4.243395467050397e-07  1.933539567607827e-02  1.363877471848211e-04  3.952898828893749e-03  6.649485979524106e-04
  2.841663947298978e+06  5.929060442697760e+07  4.820177872508907e+07  7.282693184019287e-46  8.820798062021086e-26  9.305870314830984e-30  3.569912115961221e-01  3.844405006580028e-05  7.330150750246606e-41  1.139226038310260e-33  1.121175197519168e-22  6.188530718178599e-01  4.094494600867480e-06  2.282817932359244e-05  4.243395761829382e-07  1.933568425646513e-02  1.363877566593662e-04  3.952904862188392e-03  6.649486471386515e-04
  3.428225474990334e+06  5.928435228165253e+07  4.820180746191821e+07  7.283006294386845e-46  8.820798703067772e-26  9.304298938615679e-30  3.569909316849128e-01  3.844405006255486e-05  7.328166491924290e-41  1.138894221920428e-33  1.133955218020740e-22  6.188529183343450e-01  4.094494600823306e-06  2.282817932334616e-05  4.243396195367888e-07  1.933610867246013e-02  1.363877705938063e-04  3.952913754468895e-03  6.649487196130824e-04
  4.216899228318271e+06  5.927398753187530e+07  4.820185517505190e+07  7.283516034454445e-46  8.820799765523863e-26  9.301691477380485e-30  3.569909316849147e-01  3.844405006255486e-05  7.324877926044771e-41  1.138342715556114e-33  1.133955243010402e-22  6.188529183343431e-01  4.094494600823306e-06  2.282817932334616e-05  4.243396195367888e-07  1.933610867246014e-02  1.363877705938063e-04  3.952913754468901e-03  6.649487196130832e-04
  5.246276399106281e+06  5.925713591643783e+07  4.820193295102461e+07  7.284353048750577e-46  8.820801492219351e-26  9.297454650200774e-30  3.569905352844375e-01  3.844405005795882e-05  7.319533436576076e-41  1.137447884419675e-33  1.169397198409126e-22  6.188526981934604e-01  4.094494600759947e-06  2.282817932299291e-05  4.243396812087064e-07  1.933671235403526e-02  1.363877904158898e-04  3.952926491163884e-03  6.649488228241271e-04
  6.567563620400288e+06  5.923004735399441e+07  4.820205849653410e+07  7.285686147515579e-46  8.820804266019413e-26  9.290641389816159e-30  3.569905352844429e-01  3.844405005795882e-05  7.310948347532961e-41  1.136008213230722e-33  1.169397263684486e-22  6.188526981934550e-01  4.094494600759947e-06  2.282817932299291e-05  4.243396812087063e-07  1.933671235403530e-02  1.363877904158898e-04  3.952926491163889e-03  6.649488228241281e-04
  7.502092739213916e+06  5.920120055756456e+07  4.820219309469867e+07  7.287118261737240e-46  8.820807217456159e-26  9.283390226954468e-30  3.569899556883587e-01  3.844405005123867e-05  7.301814213362096e-41  1.134478326118285e-33  1.162611462668903e-22  6.188523768311317e-01  4.094494600667455e-06  2.282817932247723e-05  4.243397713248869e-07  1.933759532826314e-02  1.363878193802956e-04  3.952944295722313e-03  6.649489733978639e-04
  9.142338156045528e+06  5.915752864817849e+07  4.820239797486158e+07  7.289270030851049e-46  8.820811680767049e-26  9.272410048350073e-30  3.569899556883674e-01  3.844405005123869e-05  7.288001539487726e-41  1.132162264137941e-33  1.162611567797602e-22  6.188523768311232e-01  4.094494600667455e-06  2.282817932247724e-05  4.243397713248870e-07  1.933759532826319e-02  1.363878193802957e-04  3.952944295722321e-03  6.649489733978658e-04
  1.097688713758460e+07  5.909050311584842e+07  4.820271606158869e+07  7.292587950982671e-46  8.820818519633724e-26  9.255566793299086e-30  3.569893590774771e-01  3.844405004432125e-05  7.266839899357456e-41  1.128616019528224e-33  1.141765983212002e-22  6.188520459693907e-01  4.094494600572229e-06  2.282817932194632e-05  4.243398640860878e-07  1.933850452972286e-02  1.363878491948423e-04  3.952962381858278e-03  6.649491285251958e-04
  1.337125784889277e+07  5.898984372379402e+07  4.820320113481186e+07  7.297573564968256e-46  8.820828764475221e-26  9.230282469434200e-30  3.569887097079880e-01  3.844405003679209e-05  7.235143505702410e-41  1.123304432893080e-33  1.126668410663104e-22  6.188516843154721e-01  4.094494600468143e-06  2.282817932136600e-05  4.243399651955335e-07  1.933949593035921e-02  1.363878816926136e-04  3.952981802729300e-03  6.649492978350258e-04
  1.616768322826625e+07  5.884272027613840e+07  4.820392731792717e+07  7.304857948593432e-46  8.820843683038739e-26  9.193348107334892e-30  3.569887097080185e-01  3.844405003679209e-05  7.188998903108441e-41  1.115570284580495e-33  1.126668763295771e-22  6.188516843154414e-01  4.094494600468143e-06  2.282817932136600e-05  4.243399651955336e-07  1.933949593035940e-02  1.363878816926136e-04  3.952981802729338e-03  6.649492978350321e-04
  1.992599939740533e+07  5.861230939203652e+07  4.820510287798940e+07  7.316322614738978e-46  8.820866914453136e-26  9.135573261553891e-30  3.569879055283730e-01  3.844405002746793e-05  7.117163240887853e-41  1.103536962707955e-33  1.192511105967354e-22  6.188512337339371e-01  4.094494600338460e-06  2.282817932064298e-05  4.243400906687335e-07  1.934072661310223e-02  1.363879220211835e-04  3.953005630326236e-03  6.649495082011364e-04
