#              X                D                V                M
0.0000100000000000 0.5700000000000000 -0.0000080000000000 0.0000000000000000
0.0000100903947853 0.5700000000000769 -0.0000080722572367 0.0000000000000001
0.0000101816066923 0.5700000000001544 -0.0000081451676411 0.0000000000000001
0.0000102736431074 0.5700000000002327 -0.0000082187371176 0.0000000000000002
0.0000103665114837 0.5700000000003116 -0.0000082929716238 0.0000000000000003
0.0000104602193416 0.5700000000003913 -0.0000083678771712 0.0000000000000003
0.0000105547742698 0.5700000000004718 -0.0000084434598257 0.0000000000000004
0.0000106501839252 0.5700000000005530 -0.0000085197257080 0.0000000000000005
0.0000107464560341 0.5700000000006348 -0.0000085966809941 0.0000000000000005
0.0000108435983927 0.5700000000007174 -0.0000086743319158 0.0000000000000006
0.0000109416188675 0.5700000000008006 -0.0000087526847614 0.0000000000000007
0.0000110405253964 0.5700000000008848 -0.0000088317458758 0.0000000000000007
0.0000111403259886 0.5700000000009697 -0.0000089115216615 0.0000000000000008
0.0000112410287262 0.5700000000010553 -0.0000089920185787 0.0000000000000009
0.0000113426417640 0.5700000000011418 -0.0000090732431460 0.0000000000000010
0.0000114451733307 0.5700000000012290 -0.0000091552019411 0.0000000000000010
0.0000115486317293 0.5700000000013169 -0.0000092379016010 0.0000000000000011
0.0000116530253379 0.5700000000014057 -0.0000093213488226 0.0000000000000012
0.0000117583626102 0.5700000000014953 -0.0000094055503636 0.0000000000000013
0.0000118646520765 0.5700000000015857 -0.0000094905130427 0.0000000000000013
0.0000119719023442 0.5700000000016769 -0.0000095762437400 0.0000000000000014
0.0000120801220984 0.5700000000017690 -0.0000096627493982 0.0000000000000015
0.0000121893201028 0.5700000000018618 -0.0000097500370223 0.0000000000000016
0.0000122995052001 0.5700000000019555 -0.0000098381136811 0.0000000000000016
0.0000124106863133 0.5700000000020501 -0.0000099269865070 0.0000000000000017
0.0000125228724458 0.5700000000021455 -0.0000100166626969 0.0000000000000018
0.0000126360726824 0.5700000000022417 -0.0000101071495127 0.0000000000000019
0.0000127502961901 0.5700000000023389 -0.0000101984542822 0.0000000000000020
0.0000128655522187 0.5700000000024369 -0.0000102905843992 0.0000000000000021
0.0000129818501018 0.5700000000025357 -0.0000103835473244 0.0000000000000021
0.0000130991992570 0.5700000000026355 -0.0000104773505859 0.0000000000000022
0.0000132176091874 0.5700000000027363 -0.0000105720017801 0.0000000000000023
0.0000133370894819 0.5700000000028379 -0.0000106675085716 0.0000000000000024
0.0000134576498159 0.5700000000029405 -0.0000107638786948 0.0000000000000025
0.0000135792999525 0.5700000000030440 -0.0000108611199536 0.0000000000000026
0.0000137020497428 0.5700000000031483 -0.0000109592402227 0.0000000000000027
0.0000138259091273 0.5700000000032537 -0.0000110582474479 0.0000000000000027
0.0000139508881360 0.5700000000033599 -0.0000111581496467 0.0000000000000028
0.0000140769968898 0.5700000000034672 -0.0000112589549093 0.0000000000000029
0.0000142042456009 0.5700000000035753 -0.0000113606713990 0.0000000000000030
0.0000143326445740 0.5700000000036847 -0.0000114633073526 0.0000000000000031
0.0000144622042069 0.5700000000037947 -0.0000115668710818 0.0000000000000032
0.0000145929349913 0.5700000000039059 -0.0000116713709730 0.0000000000000033
0.0000147248475138 0.5700000000040181 -0.0000117768154888 0.0000000000000034
0.0000148579524568 0.5700000000041313 -0.0000118832131681 0.0000000000000035
0.0000149922605990 0.5700000000042454 -0.0000119905726268 0.0000000000000036
0.0000151277828168 0.5700000000043607 -0.0000120989025591 0.0000000000000037
0.0000152645300848 0.5700000000044770 -0.0000122082117375 0.0000000000000038
0.0000154025134767 0.5700000000045944 -0.0000123185090138 0.0000000000000039
0.0000155417441666 0.5700000000047128 -0.0000124298033200 0.0000000000000040
0.0000156822334293 0.5700000000048322 -0.0000125421036687 0.0000000000000041
